13,4
9,1
88,8
20,6
46,4
37,3
83,8
16,6
52,7
55,4
47,1
23,2
32,9
56,1
75,1
94,8
34,7
24,3
65,9
62,1
89,1
14,1
39,3
83,9
56,3
54,2
62,4
46,3
91,1
68,1
56,9
39,2
68,7
47,2
86,2
44,4
88,1
72,6
7,3
37,6
66,6
90,2
74,4
95,5
26,2
71,7
95,6
76,1
49,6
72,1
95,9
60,9
75,3
49,1
43,7
78,1
72,2
81,4
14,7
43,3
21,7
29,7
52,7
35,4
46,5
17,3
16,3
60,3
65,7
67,3
70,1
51,3
54,9
62,7
99,4
100,5
18,9
19,2
69,6
36,3
23,8
21,6
59,7
78,1
62,6
3,2
31,4
55,9
35,5
54,3
21,8
88,9
74,8
80,8
21,9
7,6
87,9
71,5
62,8
47,4
86,4
24,7
49,7
66,1
29,6
44,6
39,3
36,9
1,4
100,3
98,5
70,7
100,3
32,4
18,1
18,8
30,7
20,7
78,4
64,2
8,6
75,2
73,9
23,4
54,9
15,8
10,9
19,2
79,4
2,9
36,8
27,1
76,9
28,1
59,4
3,3
36,8
37,3
5,7
68,8
100,2
53,6
76,1
14,9
20,5
23,9
60,5
43,8
75,9
5,7
